"","Protein","Gene","Description","Fold_Change","p_Value"
"1135","DHB12_MOUSE|O70503","Hsd17b12","Very-long-chain 3-oxoacyl-CoA reductase",-1.79,0.00914
"1136","DHB4_MOUSE|P51660","Hsd17b4","Peroxisomal multifunctional enzyme type 2",-1.56,0.0176
"1137","DHB7_MOUSE|O88736","Hsd17b7","3-keto-steroid reductase",-1.55,0.0411
"1138","DHB8_MOUSE|P50171","Hsd17b8","Estradiol 17-beta-dehydrogenase 8",-1.63,0.0025
"1139","DHE3_MOUSE|P26443","Glud1","Glutamate dehydrogenase 1, mitochondrial",-1.55,0.00759
"1140","DHPR_MOUSE|Q8BVI4","Qdpr","Dihydropteridine reductase",-1.41,0.0137
"1141","DHRS1_MOUSE|Q99L04","Dhrs1","Dehydrogenase/reductase SDR family member 1",-1.49,0.0648
"1142","DHRS4_MOUSE|Q99LB2","Dhrs4","Dehydrogenase/reductase SDR family member 4",-1.45,0.0528
"1143","DHRS7_MOUSE|Q9CXR1","Dhrs7","Dehydrogenase/reductase SDR family member 7",-1.9,0.00672
"1144","DHSO_MOUSE|Q64442","Sord","Sorbitol dehydrogenase",-1.53,0.00727
"1145","DHX15_MOUSE|O35286","Dhx15","Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15",-1.34,0.0101
"1146","DHX29_MOUSE|Q6PGC1","Dhx29","ATP-dependent RNA helicase Dhx29",-11.3,0.00346
"1147","DHX30_MOUSE|Q99PU8","Dhx30","Putative ATP-dependent RNA helicase DHX30",-1.58,0.00672
"1148","DHX36_MOUSE|Q8VHK9","Dhx36","ATP-dependent RNA helicase DHX36",-1.77,0.00203
"1149","DHX57_MOUSE|Q6P5D3","Dhx57","Putative ATP-dependent RNA helicase DHX57",-2.32,0.00183
"1150","DHX9_MOUSE|O70133","Dhx9","ATP-dependent RNA helicase A",-1.8,0.0028
"1151","DHX9_MOUSE|O70133-2","Dhx9","ATP-dependent RNA helicase A (isoform 2)",-2.35,0.00105
"1152","DI3L2_MOUSE|Q8CI75","Dis3l2","DIS3-like exonuclease 2",-1.91,0.000521
"1153","DIAP1_MOUSE|O08808","Diaph1","Protein diaphanous homolog 1",-1.86,0.00146
"1154","DIAP2_MOUSE|O70566","Diaph2","Protein diaphanous homolog 2",-3.38,0.00068
"1155","DIC_MOUSE|Q9QZD8","Slc25a10","Mitochondrial dicarboxylate carrier",-1.64,0.00407
"1156","DIDO1_MOUSE|Q8C9B9","Dido1","Death-inducer obliterator 1",-5.58,0.00218
"1157","DIP2A_MOUSE|Q8BWT5","Dip2a","Disco-interacting protein 2 homolog A",-1.88,0.00351
"1158","DIP2B_MOUSE|Q3UH60","Dip2b","Disco-interacting protein 2 homolog B",-3.2,0.00236
"1159","DIRA1_MOUSE|Q91Z61","Diras1","GTP-binding protein Di-Ras1",-1.44,0.0388
"1160","DIRA2_MOUSE|Q5PR73","Diras2","GTP-binding protein Di-Ras2",-1.3,0.147
"1161","DJB11_MOUSE|Q99KV1","Dnajb11","DnaJ homolog subfamily B member 11",-1.38,0.0923
"1162","DJC11_MOUSE|Q5U458","Dnajc11","DnaJ homolog subfamily C member 11",-1.67,0.00236
"1163","DJC16_MOUSE|Q80TN4","Dnajc16","DnaJ homolog subfamily C member 16",-1.72,0.0107
"1164","DJC27_MOUSE|Q8CFP6","Dnajc27","DnaJ homolog subfamily C member 27",-2.31,7.91e-05
"1165","DKC1_MOUSE|Q9ESX5","Dkc1","H/ACA ribonucleoprotein complex subunit 4",-2.19,0.00771
"1166","DLDH_MOUSE|O08749","Dld","Dihydrolipoyl dehydrogenase, mitochondrial",-1.37,0.155
"1167","DLG1_MOUSE|Q811D0","Dlg1","Disks large homolog 1",-5.37,0.00244
"1168","DLG2_MOUSE|Q91XM9","Dlg2","Disks large homolog 2",-8.65,0.00445
"1169","DLG2_MOUSE|Q91XM9-4","Dlg2","Disks large homolog 2 (isoform 4)",-12.8,0.00136
"1170","DLG2_MOUSE|Q91XM9-7","Dlg2","Disks large homolog 2 (isoform 7)",-19.9,0.00297
"1171","DLG3_MOUSE|P70175","Dlg3","Disks large homolog 3",-8.65,0.00184
"1172","DLG4_MOUSE|Q62108","Dlg4","Disks large homolog 4",-4.8,0.00268
"1173","DLGP1_MOUSE|Q9D415","Dlgap1","Disks large-associated protein 1",-14.5,0.00203
"1174","DLGP2_MOUSE|Q8BJ42","Dlgap2","Disks large-associated protein 2",-22.4,0.000313
"1175","DLGP3_MOUSE|Q6PFD5","Dlgap3","Disks large-associated protein 3",-25.9,0.000357
"1176","DLGP4_MOUSE|B1AZP2","Dlgap4","Disks large-associated protein 4",-15,0.0012
"1177","DLGP4_MOUSE|B1AZP2-2","Dlgap4","Disks large-associated protein 4 (isoform 2)",-10.6,0.00204
"1178","DLRB1_MOUSE|P62627","Dynlrb1","Dynein light chain roadblock-type 1",1.05,0.215
"1179","DMD_MOUSE|P11531","Dmd","Dystrophin",-1.42,0.0456
"1180","DMWD_MOUSE|Q08274","Dmwd","Dystrophia myotonica WD repeat-containing protein",-1.79,0.00708
"1181","DMXL1_MOUSE|Q6PNC0","Dmxl1","DmX-like protein 1",-2.14,0.00447
"1182","DMXL2_MOUSE|Q8BPN8","Dmxl2","DmX-like protein 2",-1.9,0.00246
"1183","DNJA1_MOUSE|P63037","Dnaja1","DnaJ homolog subfamily A member 1",-1.62,0.0122
"1184","DNJA2_MOUSE|Q9QYJ0","Dnaja2","DnaJ homolog subfamily A member 2",-2.16,0.000418
"1185","DNJA3_MOUSE|Q99M87","Dnaja3","DnaJ homolog subfamily A member 3, mitochondrial",-1.49,0.0197
"1186","DNJA4_MOUSE|Q9JMC3","Dnaja4","DnaJ homolog subfamily A member 4",-1.97,0.000934
"1187","DNJB1_MOUSE|Q9QYJ3","Dnajb1","DnaJ homolog subfamily B member 1",-15.6,0.000988
"1188","DNJB2_MOUSE|Q9QYI5","Dnajb2","DnaJ homolog subfamily B member 2",-1.77,0.00574
"1189","DNJB6_MOUSE|O54946","Dnajb6","DnaJ homolog subfamily B member 6",-1.11,0.418
"1190","DNJC3_MOUSE|Q91YW3","Dnajc3","DnaJ homolog subfamily C member 3",-1.65,0.0121
"1191","DNJC5_MOUSE|P60904","Dnajc5","DnaJ homolog subfamily C member 5",-1.67,0.00192
"1192","DNJC7_MOUSE|Q9QYI3","Dnajc7","DnaJ homolog subfamily C member 7",-1.66,0.00204
"1193","DNJC8_MOUSE|Q6NZB0","Dnajc8","DnaJ homolog subfamily C member 8",-1.5,0.00545
"1194","DNM1L_MOUSE|Q8K1M6","Dnm1l","Dynamin-1-like protein",-3.52,0.00214
"1195","DNM1L_MOUSE|Q8K1M6-3","Dnm1l","Dynamin-1-like protein (isoform 3)",-2.76,0.00424
"1196","DNPEP_MOUSE|Q9Z2W0","Dnpep","Aspartyl aminopeptidase",-1.67,0.00155
"1197","DOC10_MOUSE|Q8BZN6","Dock10","Dedicator of cytokinesis protein 10",-1.65,0.00953
"1198","DOC2A_MOUSE|Q7TNF0","Doc2a","Double C2-like domain-containing protein alpha",-2.84,0.000872
"1199","DOC2B_MOUSE|P70169","Doc2b","Double C2-like domain-containing protein beta",-2.83,0.000538
"1200","DOCK1_MOUSE|Q8BUR4","Dock1","Dedicator of cytokinesis protein 1",-1.53,0.00209
"1201","DOCK3_MOUSE|Q8CIQ7","Dock3","Dedicator of cytokinesis protein 3",-1.96,0.000908
"1202","DOCK4_MOUSE|P59764","Dock4","Dedicator of cytokinesis protein 4",-2.19,0.000516
"1203","DOCK6_MOUSE|Q8VDR9","Dock6","Dedicator of cytokinesis protein 6",-2.04,0.0124
"1204","DOCK7_MOUSE|Q8R1A4","Dock7","Dedicator of cytokinesis protein 7",-2.1,0.00466
"1205","DOCK9_MOUSE|Q8BIK4","Dock9","Dedicator of cytokinesis protein 9",-1.61,0.0146
"1206","DOCK9_MOUSE|Q8BIK4-2","Dock9","Dedicator of cytokinesis protein 9 (isoform 2)",-1.56,0.00816
"1207","DP13A_MOUSE|Q8K3H0","Appl1","DCC-interacting protein 13-alpha",-1.72,0.00464
"1208","DP13B_MOUSE|Q8K3G9","Appl2","DCC-interacting protein 13-beta",-1.62,0.00412
"1209","DPF1_MOUSE|Q9QX66","Dpf1","Zinc finger protein neuro-d4",-1.73,0.000249
"1210","DPM3_MOUSE|Q9D1Q4","Dpm3","Dolichol-phosphate mannosyltransferase subunit 3",-1.56,0.0253
"1211","DPOD3_MOUSE|Q9EQ28","Pold3","DNA polymerase delta subunit 3",-13.4,0.00767
"1212","DPP10_MOUSE|Q6NXK7","Dpp10","Inactive dipeptidyl peptidase 10",-1.52,0.00645
"1213","DPP3_MOUSE|Q99KK7","Dpp3","Dipeptidyl peptidase 3",-2.9,0.00164
"1214","DPP6_MOUSE|Q9Z218","Dpp6","Dipeptidyl aminopeptidase-like protein 6",-1.55,0.00719
"1215","DPP9_MOUSE|Q8BVG4","Dpp9","Dipeptidyl peptidase 9",-1.53,0.0115
"1216","DPYL1_MOUSE|P97427","Crmp1","Dihydropyrimidinase-related protein 1",-1.84,0.00231
"1217","DPYL2_MOUSE|O08553","Dpysl2","Dihydropyrimidinase-related protein 2",-2.1,0.0011
"1218","DPYL3_MOUSE|Q62188","Dpysl3","Dihydropyrimidinase-related protein 3",-1.71,0.00109
"1219","DPYL4_MOUSE|O35098","Dpysl4","Dihydropyrimidinase-related protein 4",-2.38,0.000907
"1220","DPYL5_MOUSE|Q9EQF6","Dpysl5","Dihydropyrimidinase-related protein 5",-1.52,0.00715
"1221","DREB_MOUSE|Q9QXS6","Dbn1","Drebrin",-6.1,0.00218
"1222","DRG1_MOUSE|P32233","Drg1","Developmentally-regulated GTP-binding protein 1",-1.38,0.00777
"1223","DRG2_MOUSE|Q9QXB9","Drg2","Developmentally-regulated GTP-binding protein 2",-1.83,0.0113
"1224","DSCR3_MOUSE|O35075","Dscr3","Down syndrome critical region protein 3 homolog",-1.55,0.0123
"1225","DSG1A_MOUSE|Q61495","Dsg1a","Desmoglein-1-alpha",-2.5,0.025
"1226","DSRAD_MOUSE|Q99MU3","Adar","Double-stranded RNA-specific adenosine deaminase",-1.89,0.000424
"1227","DTD1_MOUSE|Q9DD18","Dtd1","D-tyrosyl-tRNA(Tyr) deacylase 1",-2.16,0.00184
"1228","DTNA_MOUSE|Q9D2N4","Dtna","Dystrobrevin alpha",-3.31,0.000417
"1229","DUS3_MOUSE|Q9D7X3","Dusp3","Dual specificity protein phosphatase 3",-1.94,0.00391
"1230","DUS3L_MOUSE|Q91XI1","Dus3l","tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like",-2.33,0.001
"1231","DVL1_MOUSE|P51141","Dvl1","Segment polarity protein dishevelled homolog DVL-1",-9.57,0.00181
"1232","DVL2_MOUSE|Q60838","Dvl2","Segment polarity protein dishevelled homolog DVL-2",-9.61,0.0016
"1233","DVL3_MOUSE|Q61062","Dvl3","Segment polarity protein dishevelled homolog DVL-3",-15.2,0.00172
"1234","DX39A_MOUSE|Q8VDW0","Ddx39a","ATP-dependent RNA helicase DDX39A",-1.44,0.0137
"1235","DX39B_MOUSE|Q9Z1N5","Ddx39b","Spliceosome RNA helicase Ddx39b",-1.43,0.0122
"1236","DYHC1_MOUSE|Q9JHU4","Dync1h1","Cytoplasmic dynein 1 heavy chain 1",-1.14,0.287
"1237","DYHC2_MOUSE|Q45VK7","Dync2h1","Cytoplasmic dynein 2 heavy chain 1",-3.71,0.0215
"1238","DYL1_MOUSE|P63168","Dynll1","Dynein light chain 1, cytoplasmic",-1.66,0.0103
"1239","DYL2_MOUSE|Q9D0M5","Dynll2","Dynein light chain 2, cytoplasmic",-1.63,0.0532
"1240","DYN1_MOUSE|P39053","Dnm1","Dynamin-1",-2.18,0.00466
"1241","DYN1_MOUSE|P39053-3","Dnm1","Dynamin-1 (isoform 3)",-2.55,0.00365
"1242","DYN2_MOUSE|P39054","Dnm2","Dynamin-2",-1.59,0.00296
"1243","DYN3_MOUSE|Q8BZ98","Dnm3","Dynamin-3",-1.73,0.00659
"1244","DYST_MOUSE|Q91ZU6","Dst","Dystonin",-1.58,0.00343
"1245","DYST_MOUSE|Q91ZU6-6","Dst","Dystonin (isoform 6)",-1.71,0.000443
"1246","DZAN1_MOUSE|Q8C008","Dzank1","Double zinc ribbon and ankyrin repeat-containing protein 1",-2.96,0.000673
"1247","DZIP3_MOUSE|Q7TPV2","Dzip3","E3 ubiquitin-protein ligase DZIP3",-5.84,0.000922
"1248","E0CXB3_MOUSE|E0CXB3","2010300C02Rik","Protein 2010300C02Rik",-34.1,0.000525
"1249","E0CZE3_MOUSE|E0CZE3","Wnk2","Serine/threonine-protein kinase WNK2",-4.45,0.0026
"1250","E41L1_MOUSE|Q9Z2H5","Epb41l1","Band 4.1-like protein 1",-16.1,0.00381
"1251","E41L1_MOUSE|Q9Z2H5-2","Epb41l1","Band 4.1-like protein 1 (isoform 2)",-2.05,0.00208
"1252","E41L2_MOUSE|O70318","Epb41l2","Band 4.1-like protein 2",-1.93,0.00211
"1253","E41L3_MOUSE|Q9WV92","Epb41l3","Band 4.1-like protein 3",-9.16,0.00167
"1254","E41L3_MOUSE|Q9WV92-7","Epb41l3","Band 4.1-like protein 3 (isoform 7)",-9.09,0.00222
"1255","E41L5_MOUSE|Q8BGS1","Epb41l5","Band 4.1-like protein 5",-4.71,0.000499
"1256","E41LB_MOUSE|Q9JMC8","Epb41l4b","Band 4.1-like protein 4B",-7.76,0.00715
"1257","E9PUA3_MOUSE|E9PUA3","Iqsec1","IQ motif and SEC7 domain-containing protein 1",-6.53,0.000542
"1258","E9PUD2_MOUSE|E9PUD2","Dnm1l","Dynamin-1-like protein",-4.19,0.00119
"1259","E9PV14_MOUSE|E9PV14","Epb4.1l1","Band 4.1-like protein 1",-21.9,0.000202
"1260","E9PV86_MOUSE|E9PV86","Mctp1","Protein Mctp1",-2.27,0.000818
"1261","E9PW37_MOUSE|E9PW37","Rasal2","Protein Rasal2",-12.7,0.00333
"1262","E9PW83_MOUSE|E9PW83","Fam184a","Protein Fam184a",-15.5,0.000572
"1263","E9PWG2_MOUSE|E9PWG2","Trappc8","Protein Trappc8",-2.85,0.00502
"1264","E9PX52_MOUSE|E9PX52","Asap2","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",-4.91,9.57e-05
"1265","E9PXF0_MOUSE|E9PXF0","Pcdh17","Protein Pcdh17",-11.8,0.00219
"1266","E9PY16_MOUSE|E9PY16","Adap1","Protein Adap1",-1.84,5.13e-05
"1267","E9PYB0_MOUSE|E9PYB0","Ahnak2","Protein Ahnak2",-11.4,0.0065
"1268","E9PYT0_MOUSE|E9PYT0","Arhgap5","Rho GTPase-activating protein 5",-2.12,0.00137
"1269","E9PZP8_MOUSE|E9PZP8","Herc1","Protein Herc1",-1.86,0.00263
"1270","E9Q0V6_MOUSE|E9Q0V6","Nhsl2","NHS-like protein 2",-17.2,0.00118
"1271","E9Q1G8_MOUSE|E9Q1G8","7-Sep","Septin-7",-1.68,0.000528
"1272","E9Q1K3_MOUSE|E9Q1K3","Add1","Alpha-adducin",-4.95,0.000719
"1273","E9Q1M1_MOUSE|E9Q1M1","Pdzd2","Protein Pdzd2",-5.41,0.00232
"1274","E9Q1M6_MOUSE|E9Q1M6","Ankhd1","Protein Ankhd1",-5.31,0.000488
"1275","E9Q2E4_MOUSE|E9Q2E4","Gm15800","Protein Gm15800",-1.49,0.003
"1276","E9Q2S0_MOUSE|E9Q2S0","Pcdh7","Protein Pcdh7",-6.46,0.00179
"1277","E9Q3G8_MOUSE|E9Q3G8","Nup153","Protein Nup153",-10.3,0.0019
"1278","E9Q3I9_MOUSE|E9Q3I9","Itsn1","Intersectin-1",-3.19,0.0074
"1279","E9Q447_MOUSE|E9Q447","Sptan1","Spectrin alpha chain, non-erythrocytic 1",-12.1,0.00769
"1280","E9Q5F4_MOUSE|E9Q5F4","Actb","Actin, cytoplasmic 1",-1.54,0.0237
"1281","E9Q5M4_MOUSE|E9Q5M4","Zfr2","Protein Zfr2",-3.73,0.000849
"1282","E9Q616_MOUSE|E9Q616","Ahnak","Protein Ahnak",-1.83,0.0757
"1283","E9Q6R4_MOUSE|E9Q6R4","Arid1b","Protein Arid1b",-7.01,0.000625
"1284","E9Q6R7_MOUSE|E9Q6R7","Utrn","Protein Utrn",1.06,0.628
"1285","E9Q6Y8_MOUSE|E9Q6Y8","Usp31","Ubiquitin carboxyl-terminal hydrolase",-3.67,0.000845
"1286","E9Q800_MOUSE|E9Q800","Immt","MICOS complex subunit Mic60",-1.71,0.00417
"1287","E9Q8N8_MOUSE|E9Q8N8","Slc4a4","Electrogenic sodium bicarbonate cotransporter 1",-2.25,0.000264
"1288","E9Q8V6_MOUSE|E9Q8V6","Dennd4a","Protein Dennd4a",-3.04,0.00247
"1289","E9QK48_MOUSE|E9QK48","Eml2","Echinoderm microtubule-associated protein-like 2",-2.21,0.000533
"1290","E9QKH0_MOUSE|E9QKH0","Clasp1","CLIP-associating protein 1",-3.81,0.000519
"1291","E9QLH9_MOUSE|E9QLH9","D8Ertd82e","Tyrosine-protein kinase SgK223",-2.59,0.000183
"1292","E9QMU3_MOUSE|E9QMU3","Map7","Ensconsin",-20.4,0.0053
"1293","E9QN14_MOUSE|E9QN14","Srgap3","SLIT-ROBO Rho GTPase-activating protein 3",-9.54,0.0037
"1294","E9QNP1_MOUSE|E9QNP1","Macf1","Microtubule-actin cross-linking factor 1",-1.62,0.00365
"1295","E9QQ10_MOUSE|E9QQ10","Akap9","A-kinase anchor protein 9",-7.1,0.00272
"1296","EAA1_MOUSE|P56564","Slc1a3","Excitatory amino acid transporter 1",-1.81,0.00811
"1297","EAA2_MOUSE|P43006","Slc1a2","Excitatory amino acid transporter 2",-1.88,0.00813
"1298","EAA2_MOUSE|P43006-3","Slc1a2","Excitatory amino acid transporter 2 (isoform 3)",-2.03,0.0343
"1299","EAA3_MOUSE|P51906","Slc1a1","Excitatory amino acid transporter 3",-2.13,0.0201
"1300","EAA4_MOUSE|O35544","Slc1a6","Excitatory amino acid transporter 4",-3.61,0.000739
"1301","ECHA_MOUSE|Q8BMS1","Hadha","Trifunctional enzyme subunit alpha, mitochondrial",-1.51,0.0134
"1302","ECHB_MOUSE|Q99JY0","Hadhb","Trifunctional enzyme subunit beta, mitochondrial",-1.54,0.0184
"1303","ECHD1_MOUSE|Q9D9V3","Echdc1","Ethylmalonyl-CoA decarboxylase",-1.72,0.00383
"1304","ECHM_MOUSE|Q8BH95","Echs1","Enoyl-CoA hydratase, mitochondrial",-1.31,0.00335
"1305","ECI1_MOUSE|P42125","Eci1","Enoyl-CoA delta isomerase 1, mitochondrial",-1.68,0.012
"1306","ECI2_MOUSE|Q9WUR2","Eci2","Enoyl-CoA delta isomerase 2, mitochondrial",-1.83,0.00436
"1307","ECM29_MOUSE|Q6PDI5","Ecm29","Proteasome-associated protein ECM29 homolog",-1.83,0.00517
"1308","ECSIT_MOUSE|Q9QZH6","Ecsit","Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",-1.57,0.0087
"1309","EDC3_MOUSE|Q8K2D3","Edc3","Enhancer of mRNA-decapping protein 3",-4.25,0.000527
"1310","EDC4_MOUSE|Q3UJB9","Edc4","Enhancer of mRNA-decapping protein 4",-6.13,0.00279
"1311","EDF1_MOUSE|Q9JMG1","Edf1","Endothelial differentiation-related factor 1",-1.43,0.00126
"1312","EEA1_MOUSE|Q8BL66","Eea1","Early endosome antigen 1",-3.16,0.000763
"1313","EF1A1_MOUSE|P10126","Eef1a1","Elongation factor 1-alpha 1",-1.22,0.06
"1314","EF1A2_MOUSE|P62631","Eef1a2","Elongation factor 1-alpha 2",-1.58,0.0202
"1315","EF1B_MOUSE|O70251","Eef1b","Elongation factor 1-beta",-3.26,0.00231
"1316","EF1D_MOUSE|P57776","Eef1d","Elongation factor 1-delta",-2.96,0.00432
"1317","EF1D_MOUSE|P57776-3","Eef1d","Elongation factor 1-delta (isoform 3)",-4.7,0.00288
"1318","EF1G_MOUSE|Q9D8N0","Eef1g","Elongation factor 1-gamma",-1.29,0.0335
"1319","EF2_MOUSE|P58252","Eef2","Elongation factor 2",-1.29,0.0231
"1320","EFGM_MOUSE|Q8K0D5","Gfm1","Elongation factor G, mitochondrial",-1.47,0.0059
"1321","EFHD1_MOUSE|Q9D4J1","Efhd1","EF-hand domain-containing protein D1",-3.25,0.00517
"1322","EFHD2_MOUSE|Q9D8Y0","Efhd2","EF-hand domain-containing protein D2",-6.75,0.00192
"1323","EFL1_MOUSE|Q8C0D5",NA,NA,-2.91,0.00322
"1324","EFNB2_MOUSE|P52800","Efnb2","Ephrin-B2",-2.17,0.000243
"1325","EFR3A_MOUSE|Q8BG67","Efr3a","Protein EFR3 homolog A",-2.08,0.000177
"1326","EFR3B_MOUSE|Q6ZQ18","Efr3b","Protein EFR3 homolog B",-2.2,0.000517
"1327","EFTS_MOUSE|Q9CZR8","Tsfm","Elongation factor Ts, mitochondrial",-1.46,0.000647
"1328","EFTU_MOUSE|Q8BFR5","Tufm","Elongation factor Tu, mitochondrial",-1.49,0.00714
"1329","EHBP1_MOUSE|Q69ZW3","Ehbp1","EH domain-binding protein 1",-5.04,0.00198
"1330","EHD1_MOUSE|Q9WVK4","Ehd1","EH domain-containing protein 1",-2.21,0.00136
"1331","EHD2_MOUSE|Q8BH64","Ehd2","EH domain-containing protein 2",-1.05,0.894
"1332","EHD3_MOUSE|Q9QXY6","Ehd3","EH domain-containing protein 3",-3.95,0.00129
"1333","EHD4_MOUSE|Q9EQP2","Ehd4","EH domain-containing protein 4",-2.6,0.00545
"1334","EI2BB_MOUSE|Q99LD9","Eif2b2","Translation initiation factor eIF-2B subunit beta",-1.93,0.0221
"1335","EI2BD_MOUSE|Q61749","Eif2b4","Translation initiation factor eIF-2B subunit delta",-1.66,0.011
"1336","EI2BE_MOUSE|Q8CHW4","Eif2b5","Translation initiation factor eIF-2B subunit epsilon",-1.74,0.000834
"1337","EI3JA_MOUSE|Q3UGC7","Eif3j1","Eukaryotic translation initiation factor 3 subunit J-A",-2.23,0.00153
"1338","EIF1B_MOUSE|Q9CXU9","Eif1b","Eukaryotic translation initiation factor 1b",1.15,0.0397
"1339","EIF2A_MOUSE|Q8BJW6","Eif2a","Eukaryotic translation initiation factor 2A",-1.73,0.0147
"1340","EIF2D_MOUSE|Q61211","Eif2d","Eukaryotic translation initiation factor 2D",-4.37,0.00108
"1341","EIF3A_MOUSE|P23116","Eif3a","Eukaryotic translation initiation factor 3 subunit A",-2.24,0.000805
"1342","EIF3B_MOUSE|Q8JZQ9","Eif3b","Eukaryotic translation initiation factor 3 subunit B",-1.29,0.0221
"1343","EIF3C_MOUSE|Q8R1B4","Eif3c","Eukaryotic translation initiation factor 3 subunit C",-2.37,0.00318
"1344","EIF3D_MOUSE|O70194","Eif3d","Eukaryotic translation initiation factor 3 subunit D",-1.79,0.00212
"1345","EIF3E_MOUSE|P60229","Eif3e","Eukaryotic translation initiation factor 3 subunit E",-1.32,0.0324
"1346","EIF3F_MOUSE|Q9DCH4","Eif3f","Eukaryotic translation initiation factor 3 subunit F",-1.14,0.166
"1347","EIF3G_MOUSE|Q9Z1D1","Eif3g","Eukaryotic translation initiation factor 3 subunit G",-2.66,0.00119
"1348","EIF3H_MOUSE|Q91WK2","Eif3h","Eukaryotic translation initiation factor 3 subunit H",-1.42,0.0314
"1349","EIF3I_MOUSE|Q9QZD9","Eif3i","Eukaryotic translation initiation factor 3 subunit I",-1.15,0.04
"1350","EIF3K_MOUSE|Q9DBZ5","Eif3k","Eukaryotic translation initiation factor 3 subunit K",-1.39,0.0218
"1351","EIF3L_MOUSE|Q8QZY1","Eif3l","Eukaryotic translation initiation factor 3 subunit L",-1.36,0.0177
"1352","EIF3M_MOUSE|Q99JX4","Eif3m","Eukaryotic translation initiation factor 3 subunit M",-1.16,0.122
"1353","ELAV1_MOUSE|P70372","Elavl1","ELAV-like protein 1",-1.66,0.00176
"1354","ELAV2_MOUSE|Q60899","Elavl2","ELAV-like protein 2",-3.45,0.00277
"1355","ELAV3_MOUSE|Q60900","Elavl3","ELAV-like protein 3",-1.57,0.0376
"1356","ELAV4_MOUSE|Q61701","Elavl4","ELAV-like protein 4",-6.1,0.000641
"1357","ELFN1_MOUSE|Q8C8T7","Elfn1","Protein ELFN1",-16.4,0.00241
"1358","ELMD1_MOUSE|Q3V1U8","Elmod1","ELMO domain-containing protein 1",-1.74,0.0105
"1359","ELMO1_MOUSE|Q8BPU7","Elmo1","Engulfment and cell motility protein 1",-1.77,0.00197
"1360","ELMO2_MOUSE|Q8BHL5","Elmo2","Engulfment and cell motility protein 2",-1.8,0.00273
"1361","ELN_MOUSE|P54320","Eln","Elastin",4.28,0.151
"1362","ELOB_MOUSE|P62869","Tceb2","Transcription elongation factor B polypeptide 2",-4.91,0.00435
"1363","ELOC_MOUSE|P83940","Tceb1","Transcription elongation factor B polypeptide 1",-1.57,0.00556
"1364","ELP1_MOUSE|Q7TT37","Ikbkap","Elongator complex protein 1",-1.72,0.00257
"1365","ELP2_MOUSE|Q91WG4","Elp2","Elongator complex protein 2",-2.24,0.00149
"1366","ELP3_MOUSE|Q9CZX0","Elp3","Elongator complex protein 3",-1.92,0.000722
"1367","ELP4_MOUSE|Q9ER73","Elp4","Elongator complex protein 4",-2.71,0.00071
"1368","ELP5_MOUSE|Q99L85","Elp5","Elongator complex protein 5",-1.85,0.000993
"1369","ELYS_MOUSE|Q8CJF7","Ahctf1","Protein ELYS",-2.84,0.00234
"1370","EM55_MOUSE|P70290","Mpp1","55 kDa erythrocyte membrane protein",-6.8,0.00131
"1371","EMAL1_MOUSE|Q05BC3","Eml1","Echinoderm microtubule-associated protein-like 1",-1.48,0.0199
"1372","EMAL2_MOUSE|Q7TNG5","Eml2","Echinoderm microtubule-associated protein-like 2",-1.7,0.00741
"1373","EMAL4_MOUSE|Q3UMY5","Eml4","Echinoderm microtubule-associated protein-like 4",-1.81,0.000171
"1374","EMB_MOUSE|P21995","Emb","Embigin",-1.79,0.00769
"1375","EMC1_MOUSE|Q8C7X2","Emc1","ER membrane protein complex subunit 1",-1.58,0.0345
"1376","EMC2_MOUSE|Q9CRD2","Emc2","ER membrane protein complex subunit 2",-1.75,0.00856
"1377","EMC4_MOUSE|Q9CZX9","Emc4","ER membrane protein complex subunit 4",-1.74,0.000831
"1378","EMC8_MOUSE|O70378","Emc8","ER membrane protein complex subunit 8",-1.67,0.00326
"1379","EMD_MOUSE|O08579","Emd","Emerin",-7.87,0.000379
"1380","EMSY_MOUSE|Q8BMB0","Emsy","Protein EMSY",-11.2,0.00136
"1381","ENAH_MOUSE|Q03173","Enah","Protein enabled homolog",-11.9,0.00275
"1382","ENDD1_MOUSE|Q8C522","Endod1","Endonuclease domain-containing 1 protein",-1.66,0.00357
"1383","ENOA_MOUSE|P17182","Eno1","Alpha-enolase",-1.07,0.725
"1384","ENOG_MOUSE|P17183","Eno2","Gamma-enolase",-1.32,0.0726
"1385","ENOPH_MOUSE|Q8BGB7","Enoph1","Enolase-phosphatase E1",-1.28,0.183
"1386","ENPL_MOUSE|P08113","Hsp90b1","Endoplasmin",-1.35,0.00296
"1387","ENPP6_MOUSE|Q8BGN3","Enpp6","Ectonucleotide pyrophosphatase/phosphodiesterase family member 6",-1.75,0.00966
"1388","ENSA_MOUSE|P60840","Ensa","Alpha-endosulfine",-9.4,0.000675
"1389","EP15R_MOUSE|Q60902","Eps15l1","Epidermal growth factor receptor substrate 15-like 1",-20.4,0.000985
"1390","EP400_MOUSE|Q8CHI8","Ep400","E1A-binding protein p400",-2.06,0.000865
"1391","EPG5_MOUSE|Q80TA9","Epg5","Ectopic P granules protein 5 homolog",-2.07,6.47e-05
